2017-01-01,100.0
2017-02-01,99.5657611830432
2017-03-01,100.46536049366979
2017-04-01,100.30395114368012
2017-05-01,100.61956769845216
2017-06-01,100.87953763906991
2017-07-01,100.69723968319708
2017-08-01,101.63953747490882
2017-09-01,101.73824621645112
2017-10-01,101.44937828805782
2017-11-01,101.90111765365289
2017-12-01,101.81545066324341
2018-01-01,102.77819520786265
2018-02-01,103.0383728867234
2018-03-01,101.66915432998655
2018-04-01,101.67977828108222
2018-05-01,101.61464403101809
2018-06-01,101.29236311490563
2018-07-01,101.98672854706768
2018-08-01,98.48515400276581
2018-09-01,99.31873455600223
2018-10-01,100.83439764169651
2018-11-01,100.6802801635196
2018-12-01,100.63981211249083
2019-01-01,100.36733222967268
2019-02-01,100.2134708189562
2019-03-01,100.09278894506515
2019-04-01,100.56169885007905
2019-05-01,100.15749247732033
2019-06-01,99.9668566448588
2019-07-01,98.91545644278425
2019-08-01,99.93597547080596
