,2015,2016,2017,2018
hotel,100.0,121.6834031660257,159.41030876031493,222.77373356293415
dining,100.0,113.67430033391821,145.834451293417,172.78231671233826
transport,100.0,102.44908671081876,102.72879211642464,106.20700553843965
