,all_inds,old_ind,new_ind,old_per,new_per
2014,3.46115E+12,1.57022E+12,6.09187E+11,0.453671615,0.176007181
2015,3.44954E+12,1.44787E+12,6.50178E+11,0.419727924,0.188482353
2016,3.60424E+12,1.4366E+12,6.80054E+11,0.398587026,0.188681996
2017,3.87323E+12,1.50956E+12,7.44024E+11,0.389741016,0.192093814
2018,4.23512E+12,1.60895E+12,8.20751E+11,0.379907137,0.193796542
