,chinese_ind_name,serial_num_x,2018
25, 有色金属冶炼及压延加工业,55.0,181922935610.0
39, 批发和零售业,87.0,171192414245.0
42, 房地产业,91.0,102726864422.0
46, 教育、文化、体育和娱乐业,99.0,68584704533.0
40, 住宿和餐饮业,88.0,54570322064.0
48, 公共管理和社会组织、国际组织,102.0,47359242969.0
45, 水利、环境和公共设施管理业,96.0,43169472616.0
47, 卫生、社会保障和社会福利业,101.0,37021757080.0
20, 医药制造业（轻）,45.0,30070895226.0
38, 计算机服务和软件业,85.0,29899763138.0
